Booking_ID,no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,type_of_meal_plan,required_car_parking_space,room_type_reserved,lead_time,arrival_year,arrival_month,arrival_date,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,booking_status
INN29581,2,0,1,3,Meal Plan 1,0,Room_Type 1,200,2018,8,29,Online,0,0,0,90.95,0,1
INN06326,2,0,1,3,Meal Plan 1,0,Room_Type 1,79,2018,3,24,Online,0,0,0,90.95,1,1
INN33900,2,0,1,4,Meal Plan 1,0,Room_Type 4,78,2018,4,6,Online,0,0,0,99.45,1,0
INN00721,2,0,2,0,Meal Plan 1,0,Room_Type 1,61,2017,10,4,Offline,0,0,0,91.0,0,0
INN22121,2,1,0,4,Meal Plan 1,0,Room_Type 1,201,2018,11,1,Online,0,0,0,82.28,3,0
INN32169,2,2,0,2,Meal Plan 1,0,Room_Type 6,12,2018,2,3,Online,0,0,0,171.0,0,1
INN35541,2,0,0,1,Meal Plan 1,0,Room_Type 1,8,2018,2,16,Online,0,0,0,85.0,0,0
INN27458,1,0,1,1,Meal Plan 2,0,Room_Type 1,301,2018,7,30,Offline,0,0,0,90.0,0,0
INN25637,1,0,1,2,Meal Plan 1,0,Room_Type 1,63,2018,5,16,Corporate,0,0,0,130.0,1,1
INN24031,2,0,1,2,Meal Plan 1,0,Room_Type 1,57,2018,6,10,Offline,0,0,0,90.67,1,0
INN24931,2,0,1,0,Meal Plan 1,0,Room_Type 5,151,2018,6,27,Offline,0,0,0,200.0,0,1
INN24223,2,0,1,3,Not Selected,0,Room_Type 1,39,2018,5,12,Online,0,0,0,116.1,0,1
INN32646,2,0,1,1,Not Selected,0,Room_Type 1,1,2018,7,4,Online,0,0,0,139.0,1,0
INN05806,1,0,2,1,Meal Plan 2,0,Room_Type 1,138,2017,8,22,Offline,0,0,0,72.5,0,0
INN12947,2,0,2,2,Not Selected,0,Room_Type 1,82,2018,10,30,Online,0,0,0,59.85,1,0
INN32707,2,0,0,2,Not Selected,0,Room_Type 4,1,2018,8,23,Online,0,0,0,95.65,0,0
INN01087,2,0,0,3,Meal Plan 1,0,Room_Type 1,44,2018,2,17,Offline,0,0,0,75.0,0,0
INN17173,2,1,1,3,Meal Plan 1,0,Room_Type 1,27,2018,3,28,Online,0,0,0,145.28,2,0
INN21269,2,0,2,1,Meal Plan 1,0,Room_Type 1,64,2018,4,17,Online,0,0,0,99.3,1,0
INN11511,2,0,0,3,Meal Plan 1,0,Room_Type 1,276,2018,9,22,Offline,0,0,0,116.33,0,1
INN20231,1,0,1,0,Meal Plan 1,0,Room_Type 1,0,2018,11,21,Corporate,1,0,11,65.0,1,0
INN25470,2,0,1,4,Meal Plan 2,0,Room_Type 4,146,2018,10,19,Online,0,0,0,166.5,2,0
INN23495,2,0,1,2,Meal Plan 1,0,Room_Type 1,33,2018,1,25,Corporate,0,0,0,64.0,0,0
INN13742,2,0,0,3,Meal Plan 1,0,Room_Type 1,117,2018,5,5,Online,0,0,0,105.3,0,0
INN25844,2,0,2,2,Not Selected,0,Room_Type 1,91,2018,7,3,Online,0,0,0,103.5,0,0
INN06780,2,0,1,2,Meal Plan 1,0,Room_Type 1,39,2018,10,3,Online,0,0,0,118.0,0,0
INN17091,2,0,2,2,Not Selected,0,Room_Type 1,53,2018,3,4,Online,0,0,0,65.75,1,0
INN20140,2,0,1,2,Meal Plan 1,0,Room_Type 1,49,2017,9,18,Online,0,0,0,94.5,1,1
INN02333,2,0,1,0,Not Selected,0,Room_Type 1,0,2018,8,8,Online,0,0,0,92.0,0,0
INN25214,2,1,2,1,Meal Plan 1,0,Room_Type 1,7,2018,4,9,Online,0,0,0,133.83,2,0
INN33683,2,0,1,3,Not Selected,0,Room_Type 1,87,2018,3,24,Online,0,0,0,62.18,0,1
INN24292,2,0,2,5,Meal Plan 1,0,Room_Type 1,35,2018,3,8,Online,0,0,0,81.9,1,1
INN34858,2,0,2,1,Meal Plan 1,0,Room_Type 1,19,2017,12,5,Online,1,1,0,69.0,0,0
INN12396,2,0,0,2,Meal Plan 1,0,Room_Type 1,22,2017,12,18,Corporate,0,0,0,75.0,0,0
INN13067,1,0,0,1,Meal Plan 1,0,Room_Type 1,7,2018,11,3,Corporate,0,0,0,79.0,0,0
INN15616,2,0,1,2,Meal Plan 1,0,Room_Type 1,168,2018,4,22,Offline,0,0,0,85.0,0,1
INN19140,2,1,2,1,Meal Plan 1,0,Room_Type 1,61,2018,11,26,Offline,0,0,0,90.0,0,0
INN02146,1,0,0,2,Meal Plan 1,0,Room_Type 1,39,2018,3,4,Online,0,0,0,77.5,1,0
INN27647,2,0,1,3,Meal Plan 1,0,Room_Type 1,132,2018,7,11,Online,0,0,0,101.58,1,0
INN14493,2,0,4,5,Meal Plan 1,0,Room_Type 4,129,2018,5,22,Online,0,0,0,114.75,3,0
INN15489,2,0,1,0,Meal Plan 1,0,Room_Type 4,1,2018,1,4,Online,0,0,0,99.0,1,0
INN27568,1,0,0,1,Meal Plan 1,0,Room_Type 1,21,2018,3,4,Online,0,0,0,85.0,0,1
INN18631,2,0,0,1,Meal Plan 1,0,Room_Type 1,18,2018,11,8,Corporate,1,0,1,75.0,3,0
INN09579,1,0,1,2,Meal Plan 1,0,Room_Type 1,111,2018,10,10,Offline,0,0,0,120.0,0,0
INN20274,1,0,1,1,Meal Plan 1,0,Room_Type 1,159,2018,4,9,Offline,0,0,0,65.0,0,0
INN12207,2,0,0,3,Meal Plan 1,0,Room_Type 4,103,2018,8,3,Online,0,0,0,118.8,0,1
INN16988,2,0,0,1,Meal Plan 1,0,Room_Type 2,107,2017,8,12,Online,0,0,0,90.0,1,0
INN31795,1,0,2,2,Meal Plan 1,0,Room_Type 1,115,2018,2,27,Offline,0,0,0,61.0,0,1
INN01312,2,0,1,2,Meal Plan 1,0,Room_Type 1,73,2018,3,21,Offline,0,0,0,38.67,0,0
INN27976,2,0,1,0,Meal Plan 1,0,Room_Type 1,258,2018,10,16,Offline,0,0,0,110.0,0,1
INN13811,1,0,1,0,Meal Plan 1,0,Room_Type 1,7,2018,4,18,Online,0,0,0,104.0,0,1
INN36108,2,0,2,2,Meal Plan 1,0,Room_Type 1,7,2018,2,28,Offline,0,0,0,87.0,0,0
INN06879,2,0,2,1,Meal Plan 1,0,Room_Type 4,44,2018,9,25,Online,0,0,0,149.4,0,1
INN03609,2,0,1,3,Not Selected,0,Room_Type 1,6,2018,12,15,Online,0,0,0,66.3,0,0
INN24011,2,0,1,1,Meal Plan 1,0,Room_Type 1,78,2018,7,18,Online,0,0,0,105.3,0,1
INN28852,1,0,1,0,Meal Plan 1,1,Room_Type 1,3,2018,5,2,Corporate,0,0,0,98.0,0,0
INN11014,2,0,1,2,Meal Plan 1,1,Room_Type 1,65,2018,3,28,Online,0,0,0,96.3,0,0
INN26154,2,0,2,3,Meal Plan 1,0,Room_Type 1,209,2018,8,21,Online,0,0,0,90.95,2,0
INN17164,1,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,2,10,Corporate,0,0,0,70.0,0,0
INN13977,1,0,0,2,Meal Plan 2,0,Room_Type 1,320,2018,8,18,Offline,0,0,0,90.0,0,0
INN17687,1,1,2,4,Meal Plan 1,0,Room_Type 1,22,2018,2,13,Online,0,0,0,91.0,0,0
INN35270,2,0,0,3,Meal Plan 1,0,Room_Type 4,104,2018,5,17,Online,0,0,0,140.4,1,0
INN25941,2,0,2,4,Meal Plan 1,0,Room_Type 1,272,2018,10,15,Online,0,0,0,94.35,1,1
INN02640,1,0,1,0,Not Selected,0,Room_Type 1,24,2018,5,2,Online,0,0,0,124.0,1,0
INN04037,2,0,0,1,Meal Plan 1,0,Room_Type 1,0,2018,1,22,Online,0,0,0,91.0,0,0
INN08675,3,0,0,3,Meal Plan 1,0,Room_Type 4,17,2018,7,28,Online,0,0,0,173.67,1,0
INN30275,2,0,0,4,Not Selected,0,Room_Type 1,18,2017,9,9,Online,0,0,0,93.0,0,1
INN20092,2,0,2,2,Meal Plan 1,0,Room_Type 1,33,2017,12,26,Offline,0,0,0,55.0,0,0
INN22205,2,0,0,1,Meal Plan 2,0,Room_Type 1,72,2017,9,18,Offline,0,0,0,108.0,0,0
INN14795,2,0,0,3,Meal Plan 1,0,Room_Type 1,21,2018,10,4,Offline,0,0,0,85.0,0,0
INN07935,2,0,1,2,Meal Plan 1,0,Room_Type 4,61,2018,4,15,Online,0,0,0,124.8,0,1
INN00602,2,0,2,3,Meal Plan 1,0,Room_Type 1,256,2018,10,23,Online,0,0,0,94.35,2,1
INN25261,3,0,2,5,Meal Plan 1,0,Room_Type 4,110,2018,6,13,Online,0,0,0,150.45,4,0
